ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000665.SZ,20241106,4.68,4.88,4.57,4.62,4.7,-0.08,-1.7021,693336.14,325375.949
000665.SZ,20241105,4.45,4.79,4.4,4.7,4.47,0.23,5.1454,738336.02,336650.786
000665.SZ,20241104,4.18,4.55,4.18,4.47,4.28,0.19,4.4393,605499.2,266110.434
000665.SZ,20241101,4.65,4.67,4.28,4.28,4.75,-0.47,-9.8947,837471.81,369386.971
000665.SZ,20241031,4.49,4.95,4.44,4.75,4.53,0.22,4.8565,1048380.55,490096.599
000665.SZ,20241030,4.61,4.87,4.35,4.53,4.65,-0.12,-2.5806,1247902.45,566149.075
000665.SZ,20241029,4.28,4.65,4.11,4.65,4.23,0.42,9.9291,863094.41,384622.693
000665.SZ,20241028,4.06,4.24,4.06,4.23,4.04,0.19,4.703,467862.78,195214.405
000665.SZ,20241025,3.92,4.09,3.91,4.04,3.94,0.1,2.5381,409546.14,164516.927
000665.SZ,20241024,3.85,3.98,3.83,3.94,3.88,0.06,1.5464,284378.66,111229.272
000665.SZ,20241023,3.93,3.93,3.85,3.88,3.92,-0.04,-1.0204,232202.59,90193.458
000665.SZ,20241022,3.82,3.98,3.8,3.92,3.83,0.09,2.3499,323372.94,126346.724
000665.SZ,20241021,3.78,3.85,3.76,3.83,3.79,0.04,1.0554,233803.84,89101.732
000665.SZ,20241018,3.75,3.82,3.7,3.79,3.76,0.03,0.7979,234468.86,88152.127
000665.SZ,20241017,3.8,3.85,3.75,3.76,3.76,0.0,0.0,169813.08,64688.389
000665.SZ,20241016,3.72,3.8,3.71,3.76,3.77,-0.01,-0.2653,149606.59,56315.277
000665.SZ,20241015,3.77,3.88,3.73,3.77,3.78,-0.01,-0.2646,218043.77,82931.611
000665.SZ,20241014,3.72,3.79,3.69,3.78,3.71,0.07,1.8868,187287.99,70201.912
000665.SZ,20241011,3.83,3.83,3.68,3.71,3.83,-0.12,-3.1332,210067.71,78752.567
000665.SZ,20241010,3.84,3.91,3.64,3.83,3.86,-0.03,-0.7772,346469.82,130744.015
000665.SZ,20241009,4.11,4.12,3.86,3.86,4.29,-0.43,-10.0233,451887.18,178038.989
000665.SZ,20241008,4.6,4.6,4.05,4.29,4.2,0.09,2.1429,798859.61,345277.513
000665.SZ,20240930,4.01,4.25,3.91,4.2,3.91,0.29,7.4169,729646.34,298576.073
000665.SZ,20240927,3.88,3.95,3.76,3.91,3.84,0.07,1.8229,595306.59,229280.602
000665.SZ,20240926,3.88,4.0,3.77,3.84,3.75,0.09,2.4,504321.13,193925.728
000665.SZ,20240925,3.78,3.84,3.74,3.75,3.69,0.06,1.626,344388.28,130108.352
000665.SZ,20240924,3.65,3.72,3.62,3.69,3.66,0.03,0.8197,285679.67,104958.715
000665.SZ,20240923,3.6,3.78,3.54,3.66,3.59,0.07,1.9499,328638.81,119957.802
000665.SZ,20240920,3.5,3.78,3.5,3.59,3.45,0.14,4.058,390705.95,141711.719
000665.SZ,20240919,3.38,3.45,3.36,3.45,3.36,0.09,2.6786,97261.13,33230.152
000665.SZ,20240918,3.39,3.41,3.32,3.36,3.39,-0.03,-0.885,63390.4,21264.014
000665.SZ,20240913,3.4,3.42,3.37,3.39,3.39,0.0,0.0,50743.0,17239.691
000665.SZ,20240912,3.38,3.42,3.38,3.39,3.37,0.02,0.5935,44976.0,15308.988
000665.SZ,20240911,3.41,3.43,3.36,3.37,3.44,-0.07,-2.0349,58030.69,19663.22
000665.SZ,20240910,3.44,3.44,3.36,3.44,3.4,0.04,1.1765,62697.38,21327.042
000665.SZ,20240909,3.4,3.45,3.35,3.4,3.4,0.0,0.0,60046.6,20447.616
000665.SZ,20240906,3.47,3.47,3.4,3.4,3.44,-0.04,-1.1628,55347.6,19033.722
000665.SZ,20240905,3.39,3.47,3.39,3.44,3.39,0.05,1.4749,74649.6,25651.315
000665.SZ,20240904,3.43,3.45,3.38,3.39,3.44,-0.05,-1.4535,53037.15,18078.6
000665.SZ,20240903,3.41,3.45,3.38,3.44,3.41,0.03,0.8798,81262.37,27777.043
000665.SZ,20240902,3.47,3.55,3.4,3.41,3.49,-0.08,-2.2923,106109.95,36721.549
000665.SZ,20240830,3.38,3.58,3.38,3.49,3.38,0.11,3.2544,201036.04,69913.159
000665.SZ,20240829,3.34,3.4,3.32,3.38,3.37,0.01,0.2967,80288.22,26946.409
000665.SZ,20240828,3.29,3.42,3.24,3.37,3.31,0.06,1.8127,117771.49,39381.12
000665.SZ,20240827,3.34,3.43,3.3,3.31,3.37,-0.06,-1.7804,90053.89,30132.154
000665.SZ,20240826,3.35,3.4,3.29,3.37,3.34,0.03,0.8982,64298.4,21592.483
000665.SZ,20240823,3.33,3.38,3.28,3.34,3.33,0.01,0.3003,81837.44,27244.605
000665.SZ,20240822,3.41,3.45,3.33,3.33,3.43,-0.1,-2.9155,100349.03,33823.974
000665.SZ,20240821,3.45,3.51,3.42,3.43,3.46,-0.03,-0.8671,61569.98,21314.408
000665.SZ,20240820,3.53,3.54,3.45,3.46,3.52,-0.06,-1.7045,51363.07,17897.596
000665.SZ,20240819,3.55,3.56,3.51,3.52,3.52,0.0,0.0,58362.67,20595.76
000665.SZ,20240816,3.54,3.56,3.52,3.52,3.53,-0.01,-0.2833,77062.83,27295.119
000665.SZ,20240815,3.51,3.54,3.45,3.53,3.48,0.05,1.4368,103369.54,36391.962
000665.SZ,20240814,3.44,3.49,3.42,3.48,3.44,0.04,1.1628,70882.73,24531.93
000665.SZ,20240813,3.41,3.44,3.38,3.44,3.42,0.02,0.5848,59683.85,20361.459
000665.SZ,20240812,3.47,3.49,3.4,3.42,3.48,-0.06,-1.7241,64303.91,22137.494
000665.SZ,20240809,3.52,3.54,3.47,3.48,3.53,-0.05,-1.4164,55630.2,19456.727
000665.SZ,20240808,3.48,3.54,3.45,3.53,3.51,0.02,0.5698,73749.63,25853.061
000665.SZ,20240807,3.47,3.54,3.45,3.51,3.48,0.03,0.8621,70459.94,24721.77
000665.SZ,20240806,3.45,3.49,3.44,3.48,3.43,0.05,1.4577,60021.8,20801.596
000665.SZ,20240805,3.48,3.55,3.43,3.43,3.5,-0.07,-2.0,88370.11,30821.005
000665.SZ,20240802,3.5,3.55,3.5,3.5,3.53,-0.03,-0.8499,77198.49,27253.086
000665.SZ,20240801,3.55,3.56,3.48,3.53,3.54,-0.01,-0.2825,98533.43,34773.762
000665.SZ,20240731,3.46,3.56,3.45,3.54,3.46,0.08,2.3121,103585.6,36420.779
000665.SZ,20240730,3.44,3.46,3.41,3.46,3.44,0.02,0.5814,45974.48,15841.28
000665.SZ,20240729,3.39,3.45,3.35,3.44,3.39,0.05,1.4749,68388.65,23322.788
000665.SZ,20240726,3.34,3.41,3.34,3.39,3.36,0.03,0.8929,51321.0,17358.0
000665.SZ,20240725,3.34,3.4,3.32,3.36,3.34,0.02,0.5988,46556.86,15646.856
000665.SZ,20240724,3.38,3.43,3.33,3.34,3.4,-0.06,-1.7647,81965.51,27507.152
000665.SZ,20240723,3.47,3.49,3.39,3.4,3.47,-0.07,-2.0173,74241.33,25524.166
000665.SZ,20240722,3.44,3.48,3.41,3.47,3.47,0.0,0.0,53394.13,18420.448
000665.SZ,20240719,3.55,3.55,3.44,3.47,3.43,0.04,1.1662,86005.63,29940.159
000665.SZ,20240718,3.44,3.44,3.38,3.43,3.46,-0.03,-0.8671,48569.85,16567.548
000665.SZ,20240717,3.5,3.52,3.45,3.46,3.5,-0.04,-1.1429,56981.37,19804.473
000665.SZ,20240716,3.51,3.51,3.45,3.5,3.5,0.0,0.0,42965.81,14924.898
000665.SZ,20240715,3.5,3.53,3.48,3.5,3.51,-0.01,-0.2849,59300.58,20771.069
000665.SZ,20240712,3.56,3.56,3.5,3.51,3.56,-0.05,-1.4045,86056.6,30361.828
000665.SZ,20240711,3.58,3.58,3.5,3.56,3.54,0.02,0.565,122357.56,43335.026
000665.SZ,20240710,3.4,3.65,3.38,3.54,3.46,0.08,2.3121,206325.77,73483.86
000665.SZ,20240709,3.4,3.46,3.31,3.46,3.41,0.05,1.4663,103616.19,35188.402
000665.SZ,20240708,3.53,3.53,3.4,3.41,3.53,-0.12,-3.3994,105117.91,36153.607
000665.SZ,20240705,3.48,3.55,3.41,3.53,3.49,0.04,1.1461,104681.07,36719.373
000665.SZ,20240704,3.6,3.6,3.49,3.49,3.6,-0.11,-3.0556,139752.81,49351.837
000665.SZ,20240703,3.59,3.67,3.55,3.6,3.61,-0.01,-0.277,181386.85,65648.754
000665.SZ,20240702,3.53,3.77,3.5,3.61,3.53,0.08,2.2663,247746.85,89871.139
000665.SZ,20240701,3.47,3.55,3.46,3.53,3.56,-0.03,-0.8427,208022.82,72899.216
000665.SZ,20240628,3.69,3.69,3.51,3.56,3.75,-0.19,-5.0667,446033.23,160485.408
000665.SZ,20240627,3.61,3.87,3.55,3.75,3.52,0.23,6.5341,615345.21,233999.426
000665.SZ,20240626,3.43,3.53,3.37,3.52,3.45,0.07,2.029,114894.8,39990.05
000665.SZ,20240625,3.52,3.55,3.41,3.45,3.49,-0.04,-1.1461,103218.53,35683.329
000665.SZ,20240624,3.59,3.59,3.47,3.49,3.53,-0.04,-1.1331,110524.08,39078.999
000665.SZ,20240621,3.51,3.59,3.48,3.53,3.55,-0.02,-0.5634,103645.4,36609.457
000665.SZ,20240620,3.7,3.7,3.55,3.55,3.74,-0.19,-5.0802,204091.29,73329.874
000665.SZ,20240619,3.76,3.8,3.7,3.74,3.76,-0.02,-0.5319,231097.2,86692.128
000665.SZ,20240618,3.75,3.82,3.69,3.76,3.91,-0.15,-3.8363,283022.57,106599.616
000665.SZ,20240617,3.85,3.92,3.67,3.91,3.94,-0.03,-0.7614,457058.58,171296.165
000665.SZ,20240614,4.08,4.2,3.9,3.94,3.91,0.03,0.7673,728046.45,296430.204
000665.SZ,20240613,3.91,3.91,3.91,3.91,3.55,0.36,10.1408,147312.36,57599.133
000665.SZ,20240612,3.48,3.56,3.46,3.55,3.47,0.08,2.3055,75927.97,26796.591
000665.SZ,20240611,3.46,3.48,3.4,3.47,3.46,0.01,0.289,54201.7,18670.683
000665.SZ,20240607,3.45,3.54,3.39,3.46,3.38,0.08,2.3669,82431.4,28391.479
000665.SZ,20240606,3.58,3.62,3.37,3.38,3.59,-0.21,-5.8496,151824.51,52078.647
000665.SZ,20240605,3.69,3.7,3.59,3.59,3.64,-0.05,-1.3736,59006.0,21494.05
000665.SZ,20240604,3.69,3.72,3.58,3.64,3.73,-0.09,-2.4129,100364.21,36476.615
000665.SZ,20240603,3.68,3.77,3.63,3.73,3.7,0.03,0.8108,110204.0,41040.137
000665.SZ,20240531,3.67,3.73,3.67,3.7,3.67,0.03,0.8174,59429.59,21990.74
000665.SZ,20240530,3.7,3.72,3.65,3.67,3.72,-0.05,-1.3441,58575.24,21574.147
000665.SZ,20240529,3.7,3.78,3.66,3.72,3.72,0.0,0.0,78541.0,29121.952
000665.SZ,20240528,3.77,3.81,3.71,3.72,3.79,-0.07,-1.847,85606.87,32145.76
000665.SZ,20240527,3.84,3.88,3.71,3.79,3.86,-0.07,-1.8135,107648.37,40461.034
000665.SZ,20240524,4.0,4.03,3.85,3.86,3.94,-0.08,-2.0305,132190.7,52164.953
000665.SZ,20240523,4.05,4.07,3.93,3.94,3.95,-0.01,-0.2532,250875.0,100265.778
000665.SZ,20240522,3.8,4.04,3.8,3.95,3.82,0.13,3.4031,236972.8,93201.989
000665.SZ,20240521,3.81,3.85,3.78,3.82,3.83,-0.01,-0.2611,64248.4,24508.069
000665.SZ,20240520,3.88,3.88,3.81,3.83,3.86,-0.03,-0.7772,113360.14,43528.121
000665.SZ,20240517,3.89,3.92,3.8,3.86,3.9,-0.04,-1.0256,157756.2,60716.577
000665.SZ,20240516,3.81,4.11,3.77,3.9,3.75,0.15,4.0,293805.3,115406.818
000665.SZ,20240515,3.72,3.78,3.71,3.75,3.75,0.0,0.0,48484.93,18183.655
000665.SZ,20240514,3.69,3.76,3.68,3.75,3.68,0.07,1.9022,62127.45,23136.129
000665.SZ,20240513,3.77,3.79,3.65,3.68,3.77,-0.09,-2.3873,64450.0,23776.659
000665.SZ,20240510,3.8,3.84,3.74,3.77,3.79,-0.02,-0.5277,52633.79,19877.692
000665.SZ,20240509,3.76,3.81,3.75,3.79,3.75,0.04,1.0667,67118.25,25469.675
000665.SZ,20240508,3.83,3.83,3.74,3.75,3.83,-0.08,-2.0888,67995.79,25627.012
000665.SZ,20240507,3.79,3.86,3.78,3.83,3.79,0.04,1.0554,80083.13,30608.831
