ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000679.SZ,20241106,4.03,4.12,3.93,4.05,4.02,0.03,0.7463,181398.5,72852.386
000679.SZ,20241105,3.94,4.02,3.9,4.02,3.95,0.07,1.7722,180035.0,71238.415
000679.SZ,20241104,3.97,3.98,3.81,3.95,4.01,-0.06,-1.4963,194728.01,75834.282
000679.SZ,20241101,3.96,4.15,3.81,4.01,3.96,0.05,1.2626,301976.5,120941.566
000679.SZ,20241031,3.85,4.0,3.85,3.96,3.94,0.02,0.5076,158337.5,62453.691
000679.SZ,20241030,3.94,4.05,3.89,3.94,3.97,-0.03,-0.7557,161722.41,64268.322
000679.SZ,20241029,4.1,4.19,3.97,3.97,4.14,-0.17,-4.1063,215907.48,87704.895
000679.SZ,20241028,3.95,4.15,3.94,4.14,3.98,0.16,4.0201,261009.69,106598.92
000679.SZ,20241025,3.87,4.15,3.82,3.98,3.86,0.12,3.1088,303478.39,120071.157
000679.SZ,20241024,3.71,3.94,3.68,3.86,3.74,0.12,3.2086,201090.44,76969.189
000679.SZ,20241023,3.7,3.78,3.66,3.74,3.7,0.04,1.0811,198259.52,74206.973
000679.SZ,20241022,3.65,3.72,3.61,3.7,3.75,-0.05,-1.3333,194435.01,71450.277
000679.SZ,20241021,3.5,3.76,3.45,3.75,3.54,0.21,5.9322,263378.03,95472.743
000679.SZ,20241018,3.47,3.6,3.47,3.54,3.5,0.04,1.1429,125574.0,44459.811
000679.SZ,20241017,3.57,3.7,3.5,3.5,3.56,-0.06,-1.6854,112371.0,40392.096
000679.SZ,20241016,3.52,3.6,3.48,3.56,3.57,-0.01,-0.2801,116956.27,41598.465
000679.SZ,20241015,3.67,3.71,3.57,3.57,3.72,-0.15,-4.0323,131020.79,47559.688
000679.SZ,20241014,3.57,3.72,3.5,3.72,3.64,0.08,2.1978,162106.75,58467.954
000679.SZ,20241011,3.68,3.93,3.56,3.64,3.7,-0.06,-1.6216,214992.34,80981.857
