ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002010.SZ,20241105,4.24,4.4,4.23,4.38,4.25,0.13,3.0588,368863.72,160597.481
002010.SZ,20241104,4.23,4.25,4.19,4.25,4.21,0.04,0.9501,176215.31,74272.01
002010.SZ,20241101,4.31,4.33,4.2,4.21,4.31,-0.1,-2.3202,235574.01,100268.768
002010.SZ,20241031,4.29,4.34,4.27,4.31,4.3,0.01,0.2326,246196.13,106070.43
002010.SZ,20241030,4.27,4.34,4.24,4.3,4.29,0.01,0.2331,241404.12,103518.372
002010.SZ,20241029,4.48,4.48,4.27,4.29,4.51,-0.22,-4.878,466306.54,202838.168
002010.SZ,20241028,4.28,4.53,4.26,4.51,4.3,0.21,4.8837,441639.86,194825.96
002010.SZ,20241025,4.19,4.32,4.19,4.3,4.2,0.1,2.381,279192.56,119107.36
002010.SZ,20241024,4.22,4.26,4.18,4.2,4.24,-0.04,-0.9434,201244.75,84701.576
002010.SZ,20241023,4.23,4.27,4.2,4.24,4.22,0.02,0.4739,285808.0,121088.718
002010.SZ,20241022,4.16,4.22,4.15,4.22,4.18,0.04,0.9569,242599.0,101607.11
002010.SZ,20241021,4.24,4.25,4.16,4.18,4.2,-0.02,-0.4762,353817.78,148501.286
002010.SZ,20241018,4.11,4.25,4.07,4.2,4.12,0.08,1.9417,330862.26,137754.156
002010.SZ,20241017,4.16,4.22,4.12,4.12,4.14,-0.02,-0.4831,277065.0,115450.661
002010.SZ,20241016,4.08,4.19,4.07,4.14,4.12,0.02,0.4854,198804.0,82099.667
002010.SZ,20241015,4.19,4.22,4.11,4.12,4.21,-0.09,-2.1378,238057.45,99205.337
002010.SZ,20241014,4.2,4.25,4.1,4.21,4.16,0.05,1.2019,286183.44,119579.434
002010.SZ,20241011,4.38,4.38,4.12,4.16,4.33,-0.17,-3.9261,303782.0,128570.13
002010.SZ,20241010,4.41,4.52,4.29,4.33,4.34,-0.01,-0.2304,319340.03,140212.543
002010.SZ,20241009,4.58,4.61,4.32,4.34,4.71,-0.37,-7.8556,509759.49,228024.102
002010.SZ,20241008,4.93,4.93,4.51,4.71,4.48,0.23,5.1339,717984.79,339174.357
002010.SZ,20240930,4.27,4.5,4.26,4.48,4.14,0.34,8.2126,572692.7,251555.803
002010.SZ,20240927,4.06,4.18,4.05,4.14,4.01,0.13,3.2419,318242.37,130718.2
002010.SZ,20240926,3.85,4.02,3.84,4.01,3.85,0.16,4.1558,279453.71,110057.471
002010.SZ,20240925,3.78,3.96,3.78,3.85,3.75,0.1,2.6667,248594.01,96506.666
002010.SZ,20240924,3.62,3.75,3.6,3.75,3.59,0.16,4.4568,231131.54,85133.709
002010.SZ,20240923,3.58,3.61,3.57,3.59,3.59,0.0,0.0,78066.5,28049.703
002010.SZ,20240920,3.6,3.61,3.56,3.59,3.59,0.0,0.0,115426.0,41320.718
002010.SZ,20240919,3.49,3.62,3.49,3.59,3.48,0.11,3.1609,144797.0,51511.651
002010.SZ,20240918,3.52,3.52,3.41,3.48,3.5,-0.02,-0.5714,106206.0,36712.058
002010.SZ,20240913,3.52,3.54,3.49,3.5,3.51,-0.01,-0.2849,70246.0,24668.977
002010.SZ,20240912,3.51,3.57,3.5,3.51,3.52,-0.01,-0.2841,86891.0,30652.222
002010.SZ,20240911,3.5,3.54,3.48,3.52,3.53,-0.01,-0.2833,95353.0,33423.905
002010.SZ,20240910,3.58,3.61,3.49,3.53,3.58,-0.05,-1.3966,143510.03,50577.645
002010.SZ,20240909,3.63,3.64,3.56,3.58,3.61,-0.03,-0.831,96311.0,34594.409
002010.SZ,20240906,3.68,3.69,3.61,3.61,3.69,-0.08,-2.168,92221.0,33621.027
002010.SZ,20240905,3.65,3.7,3.65,3.69,3.64,0.05,1.3736,68494.0,25161.298
002010.SZ,20240904,3.64,3.69,3.63,3.64,3.66,-0.02,-0.5464,69588.0,25465.514
002010.SZ,20240903,3.67,3.71,3.63,3.66,3.66,0.0,0.0,96885.0,35499.301
002010.SZ,20240902,3.72,3.75,3.65,3.66,3.72,-0.06,-1.6129,97961.01,36275.255
002010.SZ,20240830,3.63,3.78,3.62,3.72,3.63,0.09,2.4793,129660.01,48138.729
002010.SZ,20240829,3.58,3.66,3.58,3.63,3.62,0.01,0.2762,99767.01,36163.792
002010.SZ,20240828,3.59,3.66,3.56,3.62,3.6,0.02,0.5556,96971.0,35030.908
002010.SZ,20240827,3.67,3.68,3.58,3.6,3.7,-0.1,-2.7027,146200.0,52903.456
002010.SZ,20240826,3.67,3.73,3.66,3.7,3.67,0.03,0.8174,72039.0,26638.935
002010.SZ,20240823,3.68,3.71,3.65,3.67,3.68,-0.01,-0.2717,91362.55,33569.363
002010.SZ,20240822,3.74,3.75,3.68,3.68,3.73,-0.05,-1.3405,73026.0,27072.967
002010.SZ,20240821,3.75,3.77,3.72,3.73,3.76,-0.03,-0.7979,66012.9,24691.658
002010.SZ,20240820,3.84,3.84,3.74,3.76,3.83,-0.07,-1.8277,97309.61,36703.87
002010.SZ,20240819,3.82,3.87,3.81,3.83,3.82,0.01,0.2618,70737.41,27154.495
002010.SZ,20240816,3.88,3.9,3.82,3.82,3.88,-0.06,-1.5464,87765.5,33784.092
002010.SZ,20240815,3.84,3.93,3.83,3.88,3.84,0.04,1.0417,101275.0,39301.644
002010.SZ,20240814,3.89,3.89,3.84,3.84,3.89,-0.05,-1.2853,64756.02,24994.137
002010.SZ,20240813,3.85,3.9,3.84,3.89,3.86,0.03,0.7772,72404.68,28013.235
002010.SZ,20240812,3.87,3.89,3.84,3.86,3.87,-0.01,-0.2584,77995.0,30112.025
002010.SZ,20240809,3.9,3.93,3.87,3.87,3.9,-0.03,-0.7692,86867.0,33841.682
002010.SZ,20240808,3.84,3.9,3.83,3.9,3.85,0.05,1.2987,100454.0,38902.047
002010.SZ,20240807,3.86,3.89,3.83,3.85,3.88,-0.03,-0.7732,78456.97,30234.742
002010.SZ,20240806,3.87,3.92,3.83,3.88,3.84,0.04,1.0417,92732.0,35838.593
002010.SZ,20240805,3.85,3.92,3.83,3.84,3.87,-0.03,-0.7752,121827.36,47244.887
002010.SZ,20240802,3.88,3.93,3.86,3.87,3.9,-0.03,-0.7692,100074.0,38962.459
002010.SZ,20240801,3.9,3.95,3.87,3.9,3.9,0.0,0.0,111312.0,43418.757
002010.SZ,20240731,3.77,3.92,3.77,3.9,3.78,0.12,3.1746,161362.72,62411.368
002010.SZ,20240730,3.75,3.79,3.73,3.78,3.76,0.02,0.5319,102561.03,38633.032
002010.SZ,20240729,3.77,3.82,3.73,3.76,3.77,-0.01,-0.2653,100573.85,37731.659
002010.SZ,20240726,3.67,3.8,3.67,3.77,3.67,0.1,2.7248,118805.0,44423.856
002010.SZ,20240725,3.63,3.7,3.62,3.67,3.64,0.03,0.8242,75343.0,27591.726
002010.SZ,20240724,3.69,3.71,3.62,3.64,3.69,-0.05,-1.355,113969.61,41668.747
002010.SZ,20240723,3.74,3.81,3.69,3.69,3.75,-0.06,-1.6,115040.21,43147.929
002010.SZ,20240722,3.76,3.78,3.73,3.75,3.76,-0.01,-0.266,79650.0,29867.315
002010.SZ,20240719,3.76,3.78,3.71,3.76,3.77,-0.01,-0.2653,96343.0,36149.856
002010.SZ,20240718,3.77,3.78,3.71,3.77,3.77,0.0,0.0,100670.61,37740.373
002010.SZ,20240717,3.75,3.8,3.73,3.77,3.77,0.0,0.0,91297.0,34376.158
002010.SZ,20240716,3.81,3.82,3.75,3.77,3.82,-0.05,-1.3089,100810.0,38085.896
002010.SZ,20240715,3.84,3.84,3.79,3.82,3.83,-0.01,-0.2611,117218.14,44669.439
002010.SZ,20240712,3.84,3.9,3.82,3.83,3.85,-0.02,-0.5195,101342.0,39040.214
002010.SZ,20240711,3.78,3.86,3.76,3.85,3.72,0.13,3.4946,127920.97,48861.383
002010.SZ,20240710,3.73,3.77,3.68,3.72,3.75,-0.03,-0.8,117530.0,43974.948
002010.SZ,20240709,3.69,3.76,3.61,3.75,3.67,0.08,2.1798,133604.0,49345.777
002010.SZ,20240708,3.81,3.81,3.66,3.67,3.81,-0.14,-3.6745,191328.89,70889.878
002010.SZ,20240705,3.79,3.84,3.76,3.81,3.78,0.03,0.7937,117464.0,44694.13
002010.SZ,20240704,3.85,3.87,3.77,3.78,3.85,-0.07,-1.8182,120237.0,45845.463
002010.SZ,20240703,3.88,3.9,3.84,3.85,3.88,-0.03,-0.7732,93524.41,36200.941
002010.SZ,20240702,3.9,3.91,3.85,3.88,3.88,0.0,0.0,119507.0,46366.964
002010.SZ,20240701,3.87,3.9,3.82,3.88,3.84,0.04,1.0417,111171.0,42919.334
002010.SZ,20240628,3.82,3.92,3.8,3.84,3.83,0.01,0.2611,115476.0,44708.218
002010.SZ,20240627,3.92,3.93,3.8,3.83,3.94,-0.11,-2.7919,127155.0,48962.255
002010.SZ,20240626,3.83,3.95,3.79,3.94,3.82,0.12,3.1414,125479.88,48495.849
002010.SZ,20240625,3.8,3.85,3.77,3.82,3.79,0.03,0.7916,149912.5,57170.231
002010.SZ,20240624,3.89,3.9,3.77,3.79,3.89,-0.1,-2.5707,181444.43,69363.585
002010.SZ,20240621,4.02,4.06,3.98,3.99,4.01,-0.02,-0.4988,119189.08,47825.871
002010.SZ,20240620,4.08,4.1,4.01,4.01,4.09,-0.08,-1.956,115179.55,46589.195
002010.SZ,20240619,4.12,4.15,4.08,4.09,4.11,-0.02,-0.4866,122587.0,50260.798
002010.SZ,20240618,4.09,4.15,4.08,4.11,4.07,0.04,0.9828,172383.0,70865.043
002010.SZ,20240617,4.1,4.15,4.06,4.07,4.15,-0.08,-1.9277,275656.45,112861.712
002010.SZ,20240614,4.16,4.2,4.06,4.15,4.16,-0.01,-0.2404,363707.63,150254.374
002010.SZ,20240613,4.19,4.22,4.14,4.16,4.24,-0.08,-1.8868,209126.94,87046.612
002010.SZ,20240612,4.2,4.25,4.18,4.24,4.21,0.03,0.7126,136489.65,57647.916
002010.SZ,20240611,4.26,4.26,4.16,4.21,4.26,-0.05,-1.1737,155677.61,65282.855
002010.SZ,20240607,4.18,4.27,4.15,4.26,4.13,0.13,3.1477,186718.45,78449.282
002010.SZ,20240606,4.24,4.27,4.12,4.13,4.23,-0.1,-2.3641,199510.81,83108.369
002010.SZ,20240605,4.25,4.3,4.22,4.23,4.28,-0.05,-1.1682,149160.18,63559.229
002010.SZ,20240604,4.26,4.3,4.22,4.28,4.28,0.0,0.0,197919.94,84155.505
002010.SZ,20240603,4.43,4.44,4.25,4.28,4.35,-0.07,-1.6092,266840.62,115077.636
002010.SZ,20240531,4.41,4.42,4.33,4.35,4.4,-0.05,-1.1364,135370.0,59105.023
002010.SZ,20240530,4.41,4.46,4.36,4.4,4.42,-0.02,-0.4525,145973.68,64265.602
002010.SZ,20240529,4.43,4.5,4.39,4.42,4.44,-0.02,-0.4505,155082.26,68804.964
