ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000070.SZ,20241105,5.58,5.74,5.53,5.67,5.57,0.1,1.7953,310286.25,175639.379
000070.SZ,20241104,5.44,5.66,5.36,5.57,5.42,0.15,2.7675,308053.6,171014.024
000070.SZ,20241101,5.69,5.72,5.42,5.42,5.7,-0.28,-4.9123,543178.66,298585.664
000070.SZ,20241031,5.73,5.82,5.61,5.7,5.69,0.01,0.1757,501985.21,286502.198
000070.SZ,20241030,5.63,5.98,5.54,5.69,5.74,-0.05,-0.8711,647422.37,373336.699
000070.SZ,20241029,5.74,5.74,5.47,5.74,5.47,0.27,4.936,900357.38,509756.756
000070.SZ,20241028,5.47,5.47,5.47,5.47,5.21,0.26,4.9904,33855.42,18518.915
000070.SZ,20241025,5.15,5.21,5.11,5.21,4.96,0.25,5.0403,251690.83,130612.443
000070.SZ,20241024,5.31,5.37,4.94,4.96,5.11,-0.15,-2.9354,761992.28,392427.957
000070.SZ,20241023,5.0,5.11,4.94,5.11,4.87,0.24,4.9281,302396.93,152834.636
000070.SZ,20241022,4.68,4.87,4.64,4.87,4.64,0.23,4.9569,406250.35,195898.523
000070.SZ,20241021,4.61,4.72,4.59,4.64,4.58,0.06,1.31,267439.49,124435.84
000070.SZ,20241018,4.51,4.63,4.48,4.58,4.52,0.06,1.3274,278372.18,126986.327
000070.SZ,20241017,4.57,4.65,4.52,4.52,4.54,-0.02,-0.4405,242190.91,110935.379
000070.SZ,20241016,4.43,4.58,4.42,4.54,4.48,0.06,1.3393,201281.22,91015.699
000070.SZ,20241015,4.47,4.6,4.44,4.48,4.48,0.0,0.0,245132.46,110730.786
000070.SZ,20241014,4.38,4.48,4.36,4.48,4.36,0.12,2.7523,213155.76,94235.974
000070.SZ,20241011,4.34,4.53,4.31,4.36,4.36,0.0,0.0,282930.94,125077.887
000070.SZ,20241010,4.49,4.52,4.34,4.36,4.5,-0.14,-3.1111,330043.0,145592.229
000070.SZ,20241009,4.66,4.7,4.5,4.5,4.74,-0.24,-5.0633,436570.19,199203.615
000070.SZ,20241008,4.88,4.88,4.6,4.74,4.65,0.09,1.9355,760724.21,361957.458
000070.SZ,20240930,4.58,4.65,4.46,4.65,4.43,0.22,4.9661,591818.61,271217.23
000070.SZ,20240927,4.31,4.5,4.28,4.43,4.29,0.14,3.2634,368168.87,161235.993
